description,category
UPI/P2M/156046549984/BIGBASKET,Groceries
UPI/P2M/180552784577/UPSTOX,Investments
POS DEBIT 549755629877 BANKCHARGES,Miscellaneous
UPI/P2M/769330225551/BOOKMYSHOW,Entertainment
UPI/P2M/221817069723/UDEMY,Education
UPI/P2M/490523587598/SWIGGY,Food & Drinks
POS DEBIT 431764679362 ELECTRICITYBOARD,Bills & Utilities
UPI/P2M/133093572660/MCDONALDS,Food & Drinks
UPI/P2M/575661586237/COURSERA,Education
POS DEBIT 225544532169 PRIMEVIDEO,Entertainment
POS DEBIT 979066664890 MISCPURCHASE,Miscellaneous
POS DEBIT 172941284950 CASHWITHDRAWAL,Withdrawals
UPI/P2M/585120395396/UPSTOX,Investments
POS DEBIT 161901708447 PVRCINEMAS,Entertainment
UPI/P2M/732782090245/UBER,Travel & Transport
POS DEBIT 648737785414 OLACABS,Travel & Transport
POS DEBIT 223306235790 APOLLOPHARMACY,Health & Fitness
UPI/P2M/406916465475/UDEMY,Education
POS DEBIT 233862912174 CASHWITHDRAWAL,Withdrawals
POS DEBIT 392446217218 THEBEERCAFE,Food & Drinks
POS DEBIT 066479853170 BANKCHARGES,Miscellaneous
POS DEBIT 219145644769 ELECTRICITYBOARD,Bills & Utilities
POS DEBIT 899454517025 PVRCINEMAS,Entertainment
POS DEBIT 483792687183 LOCALSUPERMARKET,Groceries
POS DEBIT 813495245087 LOCALGYM,Health & Fitness
POS DEBIT 186052524455 CASHWITHDRAWAL,Withdrawals
POS DEBIT 428533852902 DOMINOSPIZZA,Food & Drinks
POS DEBIT 962245228182 OLACABS,Travel & Transport
POS DEBIT 329454868664 WATERSUPPLYDEPT,Bills & Utilities
POS DEBIT 118280448542 VODAFONEIDEA,Bills & Utilities
POS DEBIT 578530774166 CULTFIT,Health & Fitness
POS DEBIT 330784287062 REDBUS,Travel & Transport
UPI/P2M/179295725119/BOOKMYSHOW,Entertainment
POS DEBIT 066479853170 BANKCHARGES,Miscellaneous
UPI/P2M/361134992635/BIGBASKET,Groceries
UPI/P2M/618864760106/GROWW,Investments
UPI/P2M/149636189873/AIRTEL,Bills & Utilities
POS DEBIT 675417921512 REDBUS,Travel & Transport
NEFT CR-668677885194-SALARY CREDIT,Income
POS DEBIT 550703786339 CASHWITHDRAWAL,Withdrawals
POS DEBIT 317288336700 REDBUS,Travel & Transport
POS DEBIT 854053894845 CASHWITHDRAWAL,Withdrawals
POS DEBIT 752301057852 DOMINOSPIZZA,Food & Drinks
UPI/P2M/768547704730/ZERODHA,Investments
UPI/P2M/013913237104/GIFT,Miscellaneous
UPI/P2M/950026309105/MYNTRA,Shopping
UPI/P2M/730877110347/GIFT,Miscellaneous
UPI/P2M/149636189873/AIRTEL,Bills & Utilities
POS DEBIT 621699251895 PVRCINEMAS,Entertainment
UPI/P2M/563906139330/AMAZON,Shopping
UPI/P2M/889493812085/BIGBASKET,Groceries
POS DEBIT 287174203043 APOLLOPHARMACY,Health & Fitness
UPI/P2M/927595579155/BOOKMYSHOW,Entertainment
UPI/P2M/285581610836/AIRTEL,Bills & Utilities
POS DEBIT 560878715931 BANKCHARGES,Miscellaneous
UPI/P2M/553639727592/UDEMY,Education
POS DEBIT 374540349679 WATERSUPPLYDEPT,Bills & Utilities
NEFT CR-670250912230-RENTAL INCOME,Income
UPI/P2M/730877110347/GIFT,Miscellaneous
UPI/P2M/730877110347/GIFT,Miscellaneous
UPI/P2M/432496099775/ZEPTO,Groceries
NEFT CR-906138942562-FREELANCE PAYMENT,Income
POS DEBIT 289641128985 CASHWITHDRAWAL,Withdrawals
POS DEBIT 414255685309 CASHWITHDRAWAL,Withdrawals
POS DEBIT 558895525888 PRIMEVIDEO,Entertainment
POS DEBIT 066479853170 BANKCHARGES,Miscellaneous
UPI/P2M/774374417084/COURSERA,Education
NEFT CR-268512337452-FREELANCE PAYMENT,Income
POS DEBIT 092597335286 VODAFONEIDEA,Bills & Utilities
POS DEBIT 542220712409 OLACABS,Travel & Transport
POS DEBIT 219145644769 ELECTRICITYBOARD,Bills & Utilities
POS DEBIT 385546683332 CASHWITHDRAWAL,Withdrawals
NEFT CR-954865926298-FREELANCE PAYMENT,Income
POS DEBIT 517049216346 CASHWITHDRAWAL,Withdrawals
UPI/P2M/149636189873/AIRTEL,Bills & Utilities
POS DEBIT 846647745945 CASHWITHDRAWAL,Withdrawals
NEFT CR-704794103635-SALARY CREDIT,Income
UPI/P2M/815315722291/ZERODHA,Investments
POS DEBIT 278233520604 CULTFIT,Health & Fitness
UPI/P2M/855912538437/JIOMART,Groceries
POS DEBIT 820781098015 OLACABS,Travel & Transport
POS DEBIT 305459093596 UNIVERSITYFEES,Education
UPI/P2M/785157681480/GROWW,Investments
POS DEBIT 578530774166 CULTFIT,Health & Fitness
UPI/P2M/575904944364/NETFLIX.COM,Entertainment
POS DEBIT 159185625048 OLACABS,Travel & Transport
UPI/P2M/397304559731/BSNL,Bills & Utilities
UPI/P2M/133093572660/MCDONALDS,Food & Drinks
POS DEBIT 290854085270 PVRCINEMAS,Entertainment
POS DEBIT 163997199181 CASHWITHDRAWAL,Withdrawals
UPI/P2M/133810812158/BOOKMYSHOW,Entertainment
UPI/P2M/432623446274/BIGBASKET,Groceries
POS DEBIT 207309300331 ELECTRICITYBOARD,Bills & Utilities
UPI/P2M/358052850214/FLIPKART,Shopping
POS DEBIT 548723258782 LOCALSUPERMARKET,Groceries
POS DEBIT 092597335286 VODAFONEIDEA,Bills & Utilities
UPI/P2M/809015262678/NETFLIX.COM,Entertainment
UPI/P2M/449136630633/GROWW,Investments
UPI/P2M/907266929132/ZOMATO,Food & Drinks
UPI/P2M/730877110347/GIFT,Miscellaneous
UPI/P2M/540829534115/H&M,Shopping
NEFT CR-707061562066-RENTAL INCOME,Income
POS DEBIT 942986680489 PRIMEVIDEO,Entertainment
UPI/P2M/442092485613/STARBUCKS,Food & Drinks
NEFT CR-613278714168-RENTAL INCOME,Income
UPI/P2M/702205771351/UDEMY,Education
UPI/P2M/421598942540/BLINKIT,Groceries
UPI/P2M/883891475955/H&M,Shopping
UPI/P2M/799030938018/BIGBASKET,Groceries
POS DEBIT 549755629877 BANKCHARGES,Miscellaneous
POS DEBIT 389000031575 UNIVERSITYFEES,Education
POS DEBIT 251852220984 PRIMEVIDEO,Entertainment
POS DEBIT 243035332817 MUTUALFUNDSIP,Investments
POS DEBIT 247305433172 INDIANRAILWAYS,Travel & Transport
POS DEBIT 279626436486 LOCALSUPERMARKET,Groceries
POS DEBIT 938469621416 PRIMEVIDEO,Entertainment
UPI/P2M/184011383144/MAKEMYTRIP,Travel & Transport
POS DEBIT 744924326833 LOCALGYM,Health & Fitness
UPI/P2M/340995532336/GROWW,Investments
UPI/P2M/403439423070/MAKEMYTRIP,Travel & Transport
POS DEBIT 156927682802 APOLLOPHARMACY,Health & Fitness
POS DEBIT 171665477826 CASHWITHDRAWAL,Withdrawals
UPI/P2M/940832840583/UPSTOX,Investments
UPI/P2M/717129590514/ZARA,Shopping
UPI/P2M/426893661322/ZARA,Shopping
UPI/P2M/707389631762/UDEMY,Education
UPI/P2M/950026309105/MYNTRA,Shopping
UPI/P2M/701264220887/FLIPKART,Shopping
UPI/P2M/205167627774/ZEPTO,Groceries
UPI/P2M/619758738217/UPSTOX,Investments
POS DEBIT 881222637251 PVRCINEMAS,Entertainment
NEFT CR-337745707844-SALARY CREDIT,Income
UPI/P2M/795813393742/GIFT,Miscellaneous
NEFT CR-487316401006-SALARY CREDIT,Income
POS DEBIT 985107698348 MUTUALFUNDSIP,Investments
POS DEBIT 359590469906 INDIANRAILWAYS,Travel & Transport
UPI/P2M/663255003568/BIGBASKET,Groceries
POS DEBIT 459696564589 MUTUALFUNDSIP,Investments
POS DEBIT 093826276658 VODAFONEIDEA,Bills & Utilities
POS DEBIT 742421197075 OLACABS,Travel & Transport
UPI/P2M/953287897429/ZEPTO,Groceries
POS DEBIT 207309300331 ELECTRICITYBOARD,Bills & Utilities
POS DEBIT 931649088252 PVRCINEMAS,Entertainment
POS DEBIT 735425081159 CASHWITHDRAWAL,Withdrawals
POS DEBIT 453400111226 LOCALSUPERMARKET,Groceries
UPI/P2M/262599510855/BIGBASKET,Groceries
POS DEBIT 221262691385 CASHWITHDRAWAL,Miscellaneous
UPI/P2M/443338778223/GROWW,Investments
POS DEBIT 219145644769 ELECTRICITYBOARD,Bills & Utilities
NEFT CR-642112557653-RENTAL INCOME,Income
NEFT CR-344271357243-SALARY CREDIT,Income
POS DEBIT 618331098867 INDIANRAILWAYS,Travel & Transport
POS DEBIT 385629177583 MISCPURCHASE,Miscellaneous
UPI/P2M/260646739524/BOOKMYSHOW,Entertainment
POS DEBIT 092597335286 VODAFONEIDEA,Bills & Utilities
UPI/P2M/886833433549/COURSERA,Education
UPI/P2M/663334866077/ZOMATO,Food & Drinks
POS DEBIT 305595796998 CASHWITHDRAWAL,Withdrawals
POS DEBIT 980262220461 CASHWITHDRAWAL,Withdrawals
POS DEBIT 924451397630 LOCALGYM,Health & Fitness
UPI/P2M/697615917802/AMAZON,Shopping
UPI/P2M/199051490376/ZOMATO,Food & Drinks
POS DEBIT 680649080833 CULTFIT,Health & Fitness
POS DEBIT 282477535434 UNIVERSITYFEES,Education
POS DEBIT 796956691328 CASHWITHDRAWAL,Withdrawals
UPI/P2M/062555180438/BOOKMYSHOW,Entertainment
POS DEBIT 173150223022 WATERSUPPLYDEPT,Bills & Utilities
UPI/P2M/185288569152/GROWW,Investments
UPI/P2M/013913237104/GIFT,Miscellaneous
UPI/P2M/778796086314/GROWW,Investments
POS DEBIT 101366076060 PVRCINEMAS,Entertainment
UPI/P2M/889875220878/STARBUCKS,Food & Drinks
UPI/P2M/357899256307/JIOMART,Groceries
UPI/P2M/526138171730/ZEPTO,Groceries
UPI/P2M/989713773216/MAKEMYTRIP,Travel & Transport
POS DEBIT 908418736294 PVRCINEMAS,Entertainment
UPI/P2M/776596835097/ZOMATO,Food & Drinks
POS DEBIT 066479853170 BANKCHARGES,Miscellaneous
POS DEBIT 685379199527 THEBEERCAFE,Food & Drinks
UPI/P2M/285581610836/AIRTEL,Bills & Utilities
UPI/P2M/973518878321/ZARA,Shopping
UPI/P2M/861445957218/BOOKMYSHOW,Entertainment
UPI/P2M/587895074566/ZOMATO,Food & Drinks
POS DEBIT 202845789217 ELECTRICITYBOARD,Bills & Utilities
UPI/P2M/939615541444/UDEMY,Education
UPI/P2M/595987384603/MAKEMYTRIP,Travel & Transport
UPI/P2M/653694877284/FLIPKART,Shopping
UPI/P2M/278337309252/MYPROTEIN,Health & Fitness
UPI/P2M/106590756420/ZEPTO,Groceries
UPI/P2M/149636189873/AIRTEL,Bills & Utilities
UPI/P2M/539068548838/FLIPKART,Shopping
UPI/P2M/121355155302/JIOMART,Groceries
POS DEBIT 233784548239 LOCALSUPERMARKET,Groceries
POS DEBIT 298617001158 CULTFIT,Health & Fitness
POS DEBIT 690038171554 PRIMEVIDEO,Entertainment
POS DEBIT 385629177583 MISCPURCHASE,Miscellaneous
POS DEBIT 633517039541 LOCALGYM,Health & Fitness
UPI/P2M/470300747872/BLINKIT,Groceries
NEFT CR-243749675410-RENTAL INCOME,Income
NEFT CR-915798193713-FREELANCE PAYMENT,Income
UPI/P2M/730877110347/GIFT,Miscellaneous
UPI/P2M/933973272344/UDEMY,Education
NEFT CR-887727666982-RENTAL INCOME,Income
UPI/P2M/897361800728/BIGBASKET,Groceries
POS DEBIT 466112595870 INDIANRAILWAYS,Travel & Transport
NEFT CR-745734769632-RENTAL INCOME,Income
NEFT CR-323884977870-RENTAL INCOME,Income
POS DEBIT 396083253994 CASHWITHDRAWAL,Withdrawals
UPI/P2M/899397454092/UDEMY,Education
UPI/P2M/247527156413/ZARA,Shopping
UPI/P2M/815315722291/ZERODHA,Investments
POS DEBIT 502239700581 REDBUS,Travel & Transport
UPI/P2M/204916179105/ZERODHA,Investments
UPI/P2M/789576466775/ZERODHA,Investments
UPI/P2M/338091795336/NETFLIX.COM,Entertainment
POS DEBIT 522745429592 CASHWITHDRAWAL,Withdrawals
UPI/P2M/951063649309/BOOKMYSHOW,Entertainment
UPI/P2M/692071960468/NETFLIX.COM,Entertainment
UPI/P2M/679537661431/AMAZON,Shopping
NEFT CR-191852993873-FREELANCE PAYMENT,Income
POS DEBIT 578530774166 CULTFIT,Health & Fitness
UPI/P2M/419868920267/MYPROTEIN,Health & Fitness
UPI/P2M/950026309105/MYNTRA,Shopping
POS DEBIT 225420018207 MUTUALFUNDSIP,Investments
UPI/P2M/977587380172/AIRTEL,Bills & Utilities
UPI/P2M/540520339709/BIGBASKET,Groceries
NEFT CR-232794585739-SALARY CREDIT,Income
POS DEBIT 414268059379 UNIVERSITYFEES,Education
NEFT CR-464549061560-SALARY CREDIT,Income
POS DEBIT 199599993796 PVRCINEMAS,Entertainment
UPI/P2M/678578403167/MYNTRA,Shopping
UPI/P2M/163939529724/GROWW,Investments
POS DEBIT 170720199851 CASHWITHDRAWAL,Miscellaneous
UPI/P2M/119168961849/JIOMART,Groceries
UPI/P2M/189135009710/NETFLIX.COM,Entertainment
UPI/P2M/776596835097/ZOMATO,Food & Drinks
NEFT CR-256709556715-FREELANCE PAYMENT,Income
POS DEBIT 897367404622 PVRCINEMAS,Entertainment
POS DEBIT 839515402426 INDIANRAILWAYS,Travel & Transport
UPI/P2M/964152713700/NETFLIX.COM,Entertainment
POS DEBIT 860880409074 CULTFIT,Health & Fitness
UPI/P2M/439414083379/AMAZON,Shopping
UPI/P2M/620848206800/BIGBASKET,Groceries
POS DEBIT 232350577779 CULTFIT,Health & Fitness
UPI/P2M/226019540414/GROWW,Investments
POS DEBIT 931741105359 CASHWITHDRAWAL,Withdrawals
POS DEBIT 602864706477 DOMINOSPIZZA,Food & Drinks
POS DEBIT 560878715931 BANKCHARGES,Miscellaneous
POS DEBIT 288131097179 APOLLOPHARMACY,Health & Fitness
POS DEBIT 669574686811 PRIMEVIDEO,Entertainment
UPI/P2M/231683040908/JIOMART,Groceries
UPI/P2M/815315722291/ZERODHA,Investments
UPI/P2M/884399551289/BIGBASKET,Groceries
NEFT CR-505655603404-RENTAL INCOME,Income
POS DEBIT 669280214532 THEBEERCAFE,Food & Drinks
POS DEBIT 226868895247 PVRCINEMAS,Entertainment
POS DEBIT 549755629877 BANKCHARGES,Miscellaneous
UPI/P2M/215758949228/FLIPKART,Shopping
POS DEBIT 175168801516 UNIVERSITYFEES,Education
POS DEBIT 680649080833 CULTFIT,Health & Fitness
UPI/P2M/160297066690/BIGBASKET,Groceries
NEFT CR-582883854198-RENTAL INCOME,Income
UPI/P2M/124282541494/ZOMATO,Food & Drinks
POS DEBIT 633153371485 LOCALSUPERMARKET,Groceries
UPI/P2M/701264220887/FLIPKART,Shopping
POS DEBIT 232350577779 CULTFIT,Health & Fitness
POS DEBIT 854053894845 CASHWITHDRAWAL,Withdrawals
UPI/P2M/805779829315/UPSTOX,Investments
UPI/P2M/321778575715/MAKEMYTRIP,Travel & Transport
UPI/P2M/368577930029/UDEMY,Education
POS DEBIT 872556020584 UNIVERSITYFEES,Education
POS DEBIT 154344119847 CASHWITHDRAWAL,Withdrawals
UPI/P2M/247909044167/STARBUCKS,Food & Drinks
UPI/P2M/674425310173/BOOKMYSHOW,Entertainment
UPI/P2M/346887050312/ZERODHA,Investments
POS DEBIT 501398906201 CULTFIT,Health & Fitness
UPI/P2M/013913237104/GIFT,Miscellaneous
POS DEBIT 738946267564 PVRCINEMAS,Entertainment
POS DEBIT 769780902296 CASHWITHDRAWAL,Withdrawals
UPI/P2M/378886434884/GIFT,Miscellaneous
POS DEBIT 470951196127 VODAFONEIDEA,Bills & Utilities
UPI/P2M/510120710847/BOOKMYSHOW,Entertainment
POS DEBIT 385629177583 MISCPURCHASE,Miscellaneous
NEFT CR-536439438893-SALARY CREDIT,Income
UPI/P2M/702540376123/AMAZON,Shopping
NEFT CR-408459502981-FREELANCE PAYMENT,Income
UPI/P2M/516707692505/GIFT,Miscellaneous
POS DEBIT 118280448542 VODAFONEIDEA,Bills & Utilities
POS DEBIT 135267940100 APOLLOPHARMACY,Health & Fitness
UPI/P2M/994932541083/NETFLIX.COM,Entertainment
UPI/P2M/796277766292/SWIGGY,Food & Drinks
POS DEBIT 411032408855 LOCALSUPERMARKET,Groceries
POS DEBIT 513817566007 PVRCINEMAS,Entertainment
POS DEBIT 854053894845 CASHWITHDRAWAL,Withdrawals
UPI/P2M/144389361988/JIOMART,Groceries
UPI/P2M/785157681480/GROWW,Investments
UPI/P2M/239719737718/MYNTRA,Shopping
POS DEBIT 978142701878 CASHWITHDRAWAL,Withdrawals
UPI/P2M/970931817246/BIGBASKET,Groceries
UPI/P2M/457829749071/COURSERA,Education
POS DEBIT 847722535358 CASHWITHDRAWAL,Withdrawals
POS DEBIT 322222836174 VODAFONEIDEA,Bills & Utilities
UPI/P2M/213866617275/MYPROTEIN,Health & Fitness
UPI/P2M/730877110347/GIFT,Miscellaneous
UPI/P2M/713652171457/MYPROTEIN,Health & Fitness
POS DEBIT 092597335286 VODAFONEIDEA,Bills & Utilities
UPI/P2M/602758084655/BOOKMYSHOW,Entertainment
POS DEBIT 118280448542 VODAFONEIDEA,Bills & Utilities
POS DEBIT 560878715931 BANKCHARGES,Miscellaneous
UPI/P2M/399595715836/UPSTOX,Investments
UPI/P2M/856146674652/ZOMATO,Food & Drinks
POS DEBIT 422007125272 RELIANCEDIGITAL,Shopping
UPI/P2M/496312025663/JIOMART,Groceries
POS DEBIT 207309300331 ELECTRICITYBOARD,Bills & Utilities
POS DEBIT 251850194562 RELIANCEDIGITAL,Shopping
UPI/P2M/924837667984/AMAZON,Shopping
POS DEBIT 802308006051 REDBUS,Travel & Transport
UPI/P2M/985641909624/FLIPKART,Shopping
POS DEBIT 355718105909 DOMINOSPIZZA,Food & Drinks
POS DEBIT 092597335286 VODAFONEIDEA,Bills & Utilities
POS DEBIT 692809700951 OLACABS,Travel & Transport
UPI/P2M/380771398942/BIGBASKET,Groceries
UPI/P2M/775195974837/UDEMY,Education
UPI/P2M/516707692505/GIFT,Miscellaneous
POS DEBIT 522471387379 PVRCINEMAS,Entertainment
UPI/P2M/277475733400/SWIGGY,Food & Drinks
POS DEBIT 716218023103 PVRCINEMAS,Entertainment
POS DEBIT 385629177583 MISCPURCHASE,Miscellaneous
UPI/P2M/815315722291/ZERODHA,Investments
UPI/P2M/149636189873/AIRTEL,Bills & Utilities
NEFT CR-602281499251-FREELANCE PAYMENT,Income
POS DEBIT 093826276658 VODAFONEIDEA,Bills & Utilities
POS DEBIT 467279750185 INDIANRAILWAYS,Travel & Transport
UPI/P2M/156033701178/COURSERA,Education
UPI/P2M/597817157389/STARBUCKS,Food & Drinks
POS DEBIT 590365281943 CASHWITHDRAWAL,Withdrawals
POS DEBIT 669914278300 MUTUALFUNDSIP,Investments
POS DEBIT 929787205025 CASHWITHDRAWAL,Withdrawals
UPI/P2M/872104647134/MCDONALDS,Food & Drinks
POS DEBIT 107935003533 CASHWITHDRAWAL,Withdrawals
UPI/P2M/592042567407/BLINKIT,Groceries
UPI/P2M/654514397718/NETFLIX.COM,Entertainment
POS DEBIT 560878715931 BANKCHARGES,Miscellaneous
UPI/P2M/665194704422/FLIPKART,Shopping
UPI/P2M/356006447529/MYNTRA,Shopping
POS DEBIT 538503782622 LOCALSUPERMARKET,Groceries
POS DEBIT 977709613565 OLACABS,Travel & Transport
POS DEBIT 066479853170 BANKCHARGES,Miscellaneous
POS DEBIT 066479853170 BANKCHARGES,Miscellaneous
UPI/P2M/370687663804/MAKEMYTRIP,Travel & Transport
UPI/P2M/714797900391/ZEPTO,Groceries
UPI/P2M/285581610836/AIRTEL,Bills & Utilities
UPI/P2M/607184338165/UDEMY,Education
NEFT CR-699507434594-FREELANCE PAYMENT,Income
POS DEBIT 666570424160 RELIANCEDIGITAL,Shopping
POS DEBIT 565695295227 MISCPURCHASE,Miscellaneous
UPI/P2M/950026309105/MYNTRA,Shopping
POS DEBIT 375270428690 CASHWITHDRAWAL,Withdrawals
POS DEBIT 270104572153 UNIVERSITYFEES,Education
UPI/P2M/212253493904/UBER,Travel & Transport
NEFT CR-608313898862-FREELANCE PAYMENT,Income
NEFT CR-114756973423-FREELANCE PAYMENT,Income
UPI/P2M/876316098410/JIOMART,Groceries
UPI/P2M/169790482755/BOOKMYSHOW,Entertainment
NEFT CR-577092310128-RENTAL INCOME,Income
POS DEBIT 533044806712 INDIANRAILWAYS,Travel & Transport
UPI/P2M/261405492009/ZEPTO,Groceries
POS DEBIT 165675989124 UNIVERSITYFEES,Education
UPI/P2M/757622883186/MYPROTEIN,Health & Fitness
UPI/P2M/141253176644/STARBUCKS,Food & Drinks
POS DEBIT 549755629877 BANKCHARGES,Miscellaneous
UPI/P2M/285581610836/AIRTEL,Bills & Utilities
POS DEBIT 386499300469 MUTUALFUNDSIP,Investments
POS DEBIT 313636585851 CASHWITHDRAWAL,Withdrawals
UPI/P2M/681299510774/BOOKMYSHOW,Entertainment
UPI/P2M/638750536210/BOOKMYSHOW,Entertainment
POS DEBIT 768480807135 LOCALSUPERMARKET,Groceries
UPI/P2M/987147881568/BIGBASKET,Groceries
POS DEBIT 304570459867 PVRCINEMAS,Entertainment
UPI/P2M/474084363029/MYPROTEIN,Health & Fitness
UPI/P2M/302096266864/GROWW,Investments
POS DEBIT 788075685514 CULTFIT,Health & Fitness
POS DEBIT 898509351034 CASHWITHDRAWAL,Withdrawals
NEFT CR-844520082663-RENTAL INCOME,Income
POS DEBIT 825869897197 OLACABS,Travel & Transport
POS DEBIT 853969463971 MISCPURCHASE,Miscellaneous
UPI/P2M/787335015865/JIOMART,Groceries
NEFT CR-756704985017-RENTAL INCOME,Income
POS DEBIT 385629177583 MISCPURCHASE,Miscellaneous
POS DEBIT 562158126304 PVRCINEMAS,Entertainment
NEFT CR-997412194665-SALARY CREDIT,Income
UPI/P2M/749396395855/JIOMART,Groceries
UPI/P2M/543133883993/MYNTRA,Shopping
POS DEBIT 126998914193 PVRCINEMAS,Entertainment
UPI/P2M/936913524005/SWIGGY,Food & Drinks
NEFT CR-946598960579-RENTAL INCOME,Income
UPI/P2M/528764562503/JIOMART,Groceries
POS DEBIT 678515772968 PVRCINEMAS,Entertainment
POS DEBIT 633059306371 DOMINOSPIZZA,Food & Drinks
UPI/P2M/445279162568/GROWW,Investments
POS DEBIT 868025976671 MISCPURCHASE,Miscellaneous
UPI/P2M/637148737583/COURSERA,Education
UPI/P2M/149636189873/AIRTEL,Bills & Utilities
UPI/P2M/324902770788/MAKEMYTRIP,Travel & Transport
NEFT CR-961555285643-SALARY CREDIT,Income
POS DEBIT 219145644769 ELECTRICITYBOARD,Bills & Utilities
UPI/P2M/239325146277/GROWW,Investments
UPI/P2M/483841142245/AMAZON,Shopping
UPI/P2M/294632085517/ZEPTO,Groceries
UPI/P2M/539365487591/MYPROTEIN,Health & Fitness
UPI/P2M/285581610836/AIRTEL,Bills & Utilities
UPI/P2M/791678394507/UDEMY,Education
UPI/P2M/668672182369/UDEMY,Education
POS DEBIT 834182540001 REDBUS,Travel & Transport
POS DEBIT 650557988223 CASHWITHDRAWAL,Withdrawals
POS DEBIT 203072524197 CASHWITHDRAWAL,Withdrawals
UPI/P2M/654616847416/BLINKIT,Groceries
UPI/P2M/776596835097/ZOMATO,Food & Drinks
POS DEBIT 801131406924 CASHWITHDRAWAL,Withdrawals
UPI/P2M/366968549045/MAKEMYTRIP,Travel & Transport
UPI/P2M/939809411194/JIOMART,Groceries
UPI/P2M/817213202680/AIRTEL,Bills & Utilities
POS DEBIT 695267345693 PVRCINEMAS,Entertainment
UPI/P2M/508159327841/MCDONALDS,Food & Drinks
POS DEBIT 776646760079 OLACABS,Travel & Transport
UPI/P2M/653995958647/ZERODHA,Investments
POS DEBIT 422007125272 RELIANCEDIGITAL,Shopping
UPI/P2M/914589122335/COURSERA,Education
POS DEBIT 202590127839 BANKCHARGES,Miscellaneous
UPI/P2M/845137403084/ZERODHA,Investments
UPI/P2M/279219838002/ZERODHA,Investments
POS DEBIT 943678210490 APOLLOPHARMACY,Health & Fitness
UPI/P2M/971853783431/BIGBASKET,Groceries
POS DEBIT 834074339494 UNIVERSITYFEES,Education
UPI/P2M/999992966483/AIRTEL,Bills & Utilities
UPI/P2M/624871979257/FLIPKART,Shopping
POS DEBIT 973062729251 MUTUALFUNDSIP,Investments
UPI/P2M/196745153954/COURSERA,Education
POS DEBIT 137555892989 APOLLOPHARMACY,Health & Fitness
POS DEBIT 835297919562 CASHWITHDRAWAL,Miscellaneous
POS DEBIT 560878715931 BANKCHARGES,Miscellaneous
UPI/P2M/704232432533/STARBUCKS,Food & Drinks
POS DEBIT 336535814343 REDBUS,Travel & Transport
POS DEBIT 184723173294 CASHWITHDRAWAL,Withdrawals
UPI/P2M/137329717498/COURSERA,Education
POS DEBIT 854053894845 CASHWITHDRAWAL,Withdrawals
UPI/P2M/847992838924/MYNTRA,Shopping
UPI/P2M/994331767403/GOIBIBO,Travel & Transport
POS DEBIT 446647776440 CASHWITHDRAWAL,Withdrawals
NEFT CR-669005554758-SALARY CREDIT,Income
POS DEBIT 568359518854 REDBUS,Travel & Transport
UPI/P2M/116217166243/UDEMY,Education
UPI/P2M/013913237104/GIFT,Miscellaneous
POS DEBIT 938443822083 LOCALSUPERMARKET,Groceries
UPI/P2M/950026309105/MYNTRA,Shopping
UPI/P2M/113948751224/ZOMATO,Food & Drinks
POS DEBIT 401149154205 UNIVERSITYFEES,Education
UPI/P2M/701264220887/FLIPKART,Shopping
UPI/P2M/580413601653/UBER,Travel & Transport
POS DEBIT 560878715931 BANKCHARGES,Miscellaneous
POS DEBIT 729238504890 CASHWITHDRAWAL,Withdrawals
POS DEBIT 476877036297 LOCALGYM,Health & Fitness
POS DEBIT 935696352003 DOMINOSPIZZA,Food & Drinks
POS DEBIT 434797231402 LOCALSUPERMARKET,Groceries
POS DEBIT 835312889521 PRIMEVIDEO,Entertainment
POS DEBIT 790087174695 UNIVERSITYFEES,Education
UPI/P2M/785157681480/GROWW,Investments
POS DEBIT 408294794828 WATERSUPPLYDEPT,Bills & Utilities
POS DEBIT 903353033221 CASHWITHDRAWAL,Withdrawals
NEFT CR-854967210532-FREELANCE PAYMENT,Income
POS DEBIT 549755629877 BANKCHARGES,Miscellaneous
UPI/P2M/703247340298/FLIPKART,Shopping
POS DEBIT 219145644769 ELECTRICITYBOARD,Bills & Utilities
UPI/P2M/950026309105/MYNTRA,Shopping
POS DEBIT 232350577779 CULTFIT,Health & Fitness
POS DEBIT 459612631485 PVRCINEMAS,Entertainment
UPI/P2M/973424325805/UDEMY,Education
POS DEBIT 385629177583 MISCPURCHASE,Miscellaneous
NEFT CR-323884977870-RENTAL INCOME,Income
POS DEBIT 385629177583 MISCPURCHASE,Miscellaneous
POS DEBIT 938065964220 CULTFIT,Health & Fitness
UPI/P2M/472798371388/COURSERA,Education
UPI/P2M/650024868053/MAKEMYTRIP,Travel & Transport
POS DEBIT 100560368759 PRIMEVIDEO,Entertainment
UPI/P2M/402873804186/UDEMY,Education
UPI/P2M/815315722291/ZERODHA,Investments
POS DEBIT 856727397268 INDIANRAILWAYS,Travel & Transport
POS DEBIT 854053894845 CASHWITHDRAWAL,Withdrawals
UPI/P2M/785157681480/GROWW,Investments
POS DEBIT 396009496714 MUTUALFUNDSIP,Investments
POS DEBIT 118280448542 VODAFONEIDEA,Bills & Utilities
POS DEBIT 869770347811 ELECTRICITYBOARD,Bills & Utilities
UPI/P2M/692258851892/BOOKMYSHOW,Entertainment
UPI/P2M/396070937667/FLIPKART,Shopping
POS DEBIT 183015388795 CASHWITHDRAWAL,Withdrawals
POS DEBIT 161064313715 CASHWITHDRAWAL,Withdrawals
